pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
562947406,517220281,23103445,15641620,44.48,6.14,0,50.62,17.6899,0,100
633189821,582898493,26125080,16063862,49.18,6.98,0,56.16,20.134,0,100
619247112,569698642,25784273,15342293,49.21,6.8,0,56.01,20.1403,0,100
679509561,625124279,28947916,15945705,51.46,7.91,0,59.37,22.6203,0,100
753136378,694094844,30770230,18481780,56.05,8.74,0,64.79,23.8777,0,100
565773170,520889614,23053669,14786339,43.74,6.28,0,50.02,17.6937,0,100
660068068,609465579,26569770,16192694,51.92,6.98,0,58.9,20.1928,0,100
572306453,526780628,23281260,15519376,45.29,6.76,0,52.05,17.612,0,100
603785564,553887930,24691397,17784611,46.49,6.85,0,53.34,18.8678,0,100
658090875,606095207,27747070,15640522,51.26,7.69,0,58.95,21.3836,0,100
669329210,616482104,27536437,16483725,50.5,7.78,0,58.28,21.4015,0,100
557872938,513287977,22992913,14558077,42.73,6.88,0,49.61,17.6437,0,100
721182809,666922699,29507835,15712502,57.68,8.25,0,65.93,22.673,0,100
656683544,601890965,27308175,18430723,48.83,7.87,0,56.7,21.4157,0,100
574871808,529222031,23295229,15608802,45.1,6.56,0,51.66,17.6401,0,100
636246897,585888957,26354928,15962297,49.28,7.34,0,56.62,20.2025,0,100
639913363,588585218,26299906,17022965,49.22,7.44,0,56.66,20.1538,0,100
679155212,625851216,27827163,16936894,51.44,8.04,0,59.48,21.3881,0,100
620602044,569925806,25960075,16416808,45.96,7.43,0,53.39,20.1488,0,100
690672683,633880097,29253831,18320984,53.19,8.22,0,61.41,22.6335,0,100
650285925,600401406,26114283,15698411,49.83,7.34,0,57.17,20.1277,0,100
720786980,664035630,30385320,16158534,53.22,8.78,0,62,23.9192,0,100
585855590,538400457,23454439,17382621,48.15,5.71,0,53.86,17.6229,0,100
589394078,541041452,24433367,16214471,45.52,7.02,0,52.54,18.905,0,100
734417979,677959368,30667018,15901968,56.23,8.6,0,64.83,23.875,0,100
707535340,652960897,28891735,16167806,54.64,7.66,0,62.3,22.6212,0,100
577335598,530010212,24291298,15235238,43.85,6.83,0,50.68,18.8795,0,100
712352815,659181433,29261883,14714725,53.14,8.36,0,61.5,22.6166,0,100
660451209,607509431,27801909,16582423,51.5,7.72,0,59.22,21.3731,0,100
667684650,616537492,27576941,14835200,53.98,7.31,0,61.29,21.3703,0,100
652471555,602743989,26103303,15489608,52.1,7.19,0,59.29,20.1396,0,100
626258269,577994764,24654614,16144687,52.83,5.74,0,58.57,18.8762,0,100
591732086,544042652,24386458,15609046,46.91,6.21,0,53.12,18.8698,0,100
589948324,541426179,24277451,16461399,44.3,6.83,0,51.13,18.8677,0,100
645937113,594787454,26304847,16882665,50.57,7.25,0,57.82,20.1235,0,100
579173528,530582880,24203397,16516360,42.65,7.04,0,49.69,18.8803,0,100
772661197,714746455,32056415,15282818,58.03,9.05,0,67.08,25.1207,0,100
716448050,662340379,29184169,15654918,55.86,8.13,0,63.99,22.6377,0,100
658456936,606457486,27432737,15665532,49.56,7.57,0,57.13,21.3732,0,100
687985938,633091916,28077507,18510328,54.7,7.78,0,62.48,21.3762,0,100
681734109,628826186,27799103,16538808,51.94,7.55,0,59.49,21.3911,0,100
716563035,663065120,29583414,14989835,55.89,8.39,0,64.28,22.6469,0,100
717987263,661162469,29705170,18270476,56.39,8.38,0,64.77,22.6595,0,100
623397247,575420320,24618075,15860061,54.32,5.47,0,59.79,18.8779,0,100
554057815,508105539,23093807,15940947,43.64,6.26,0,49.9,17.6224,0,100
747834441,689841863,30833365,17405618,56.86,8.54,0,65.4,23.8796,0,100
631056468,580761724,25968676,16081308,46.77,7.4,0,54.17,20.1303,0,100
667447360,615215195,27785561,15887511,50.4,7.68,0,58.08,21.3714,0,100
587528820,539422024,24494550,16019393,45.29,6.6,0,51.89,18.8748,0,100
701488105,647422707,29043564,15594589,52.44,7.92,0,60.36,22.6384,0,100
