pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
1036817183,966028147,40980715,15638021,83.41,10.71,0,94.12,32.6091,0,100
713742395,660919567,27277858,16631467,60.26,7.52,0,67.78,21.3583,0,100
1006128388,938198239,39382637,14924199,81.89,10.81,0,92.7,31.3641,0,100
824322890,765268790,31794725,16532647,68.53,8.46,0,76.99,25.1339,0,100
1074709285,1003637209,41589922,15795340,87.72,10.65,0,98.37,32.6172,0,100
715763569,664324404,27248334,15257076,60.44,6.26,0,66.7,21.3505,0,100
838550103,778323644,31771911,17782903,67.5,8.82,0,76.32,25.0977,0,100
752760130,698261876,28789987,16197696,59.75,7.92,0,67.67,22.5965,0,100
824830044,765782105,31741777,16510992,65.35,8.26,0,73.61,25.1115,0,100
865695225,805640115,33085058,15507603,70.92,8.6,0,79.52,26.3591,0,100
786871818,732735660,28621139,15875067,67.5,6.88,0,74.38,22.603,0,100
1133771376,1056472786,42792903,20016235,93.5,10.72,0,104.22,33.8717,0,100
1087371421,1016487591,41184455,15697130,89.47,11.02,0,100.49,32.6484,0,100
844877694,784973254,32925055,15280134,68.72,8.8,0,77.52,26.402,0,100
1094181461,1021131826,42131297,15892879,88.23,11.26,0,99.49,33.8652,0,100
774855001,718695351,29952891,15812908,62.49,8.1,0,70.59,23.8483,0,100
732709308,676255638,29834917,16135659,56.55,8.28,0,64.83,23.8462,0,100
752523816,697471987,28659996,16808977,62.18,7.64,0,69.82,22.5975,0,100
949654893,885383524,36524238,15440259,78.14,9.54,0,87.68,28.8683,0,100
699550074,646657218,27262303,16619694,55.89,7.52,0,63.41,21.3906,0,100
1101773765,1028791047,42532921,15713417,88.98,11.66,0,100.64,33.8754,0,100
748652939,693232975,28562823,17112757,61.88,7.13,0,69.01,22.6428,0,100
1133125935,1059962413,42665352,15876470,92.58,11.76,0,104.34,33.9025,0,100
1061828952,990937497,41054647,15706585,88.39,10.99,0,99.38,32.659,0,100
760799625,704165700,29734389,16324271,61.31,8.44,0,69.75,23.8567,0,100
959689088,894974127,36421514,15914534,77.91,9.52,0,87.43,28.854,0,100
1117052740,1041079375,42397928,18711262,89.48,12.26,0,101.74,33.9049,0,100
1101814818,1030636175,41410216,15926002,91.53,10.66,0,102.19,32.6676,0,100
736053389,681947243,28301499,15853961,62.28,6.91,0,69.19,22.6255,0,100
766139748,709665460,30036827,16089299,63.07,7.87,0,70.94,23.8605,0,100
773019450,714471101,30056652,18188126,64.58,8.02,0,72.6,23.868,0,100
1092396235,1023955089,40104877,15377917,91.9,9.44,0,101.34,31.3468,0,100
1045314117,973516934,39555572,18763417,92.17,8.81,0,100.98,31.3488,0,100
832888937,774164847,31562559,16247411,70.77,7.72,0,78.49,25.099,0,100
1107608415,1034805769,41276016,17649191,94.4,10.1,0,104.5,32.602,0,100
669006215,619994545,25692224,14925236,53.52,6.93,0,60.45,20.1068,0,100
705114616,651639271,27097298,17196449,57.08,7.48,0,64.56,21.4091,0,100
1106547320,1033568933,41426259,17751976,94.62,9.4,0,104.02,32.6274,0,100
781901233,726456930,30041341,15120192,64.88,8.11,0,72.99,23.8485,0,100
1122200591,1049289182,41516539,17669260,97.32,9.76,0,107.08,32.6359,0,100
811771469,753971407,31356196,15274888,63.43,9.24,0,72.67,25.1683,0,100
1126705197,1053863084,41335796,17717999,96.03,9.7,0,105.73,32.5993,0,100
1103420338,1028502151,43269252,15670595,87.15,12.31,0,99.46,35.102,0,100
993690305,926410111,38108957,16286695,85.11,9.28,0,94.39,30.1098,0,100
1102925811,1030238150,42940157,15358580,89.4,10.96,0,100.36,33.8525,0,100
762165232,708567460,28853061,15282696,65.51,6.62,0,72.13,22.6001,0,100
1110588875,1037185440,43116874,15978279,89.72,11.94,0,101.66,33.9103,0,100
1131373161,1058938955,42686946,15163014,94.73,11.32,0,106.05,33.882,0,100
1106683716,1034114456,42601302,15342903,89.37,11.41,0,100.78,33.8615,0,100
630279450,582121170,23920601,16259184,51.18,6.38,0,57.56,18.8552,0,100
