pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
683550567,632786489,27098213,14520318,53.37,7.46,0,60.83,21.4715,0,100
895503546,827026105,36643737,19268619,66.65,11.44,0,78.09,29.1711,0,100
917704496,851295687,37690253,15627468,70.74,11.39,0,82.13,30.0987,0,100
741439933,684508145,30096302,16650621,58.11,8.86,0,66.97,23.849,0,100
623014167,571377423,24300692,17646202,47.84,7.38,0,55.22,20.2246,0,100
596841019,549832162,24095305,15118423,46.92,7,0,53.92,18.8573,0,100
865229002,800371667,34788544,18272489,66.81,10.48,0,77.29,27.6014,0,100
588184265,541117336,23791830,15252318,46.75,6.78,0,53.53,18.8472,0,100
681979085,628083206,27464213,17313386,53.01,8.11,0,61.12,21.6572,0,100
602485898,553411825,24158074,17196876,47.29,7.16,0,54.45,18.8546,0,100
666191370,613691659,26898194,16462375,52.84,7.92,0,60.76,21.3538,0,100
637558641,588833122,24343941,16367764,53.18,6.76,0,59.94,19.1704,0,100
501944173,457498902,20704315,16813613,39.99,5.64,0,45.63,16.3548,0,100
630912508,580317034,25695579,16607616,48.89,7.51,0,56.4,20.1001,0,100
666594031,612903844,27186053,17354012,52.6,7.78,0,60.38,21.5164,0,100
833372545,772566342,31362662,16570894,65.77,9.65,0,75.42,26.3591,0,100
588751321,540801966,23734124,16091251,45.93,6.69,0,52.62,18.8635,0,100
549145363,503303802,22272259,16084541,42.93,6.26,0,49.19,17.6094,0,100
621268347,569798560,24330826,17628817,48.17,7.03,0,55.2,20.1061,0,100
587045090,538690695,24028205,16321099,44.93,7.27,0,52.2,18.9691,0,100
662373441,611171322,26167780,15270984,51.11,8.17,0,59.28,21.3463,0,100
529740043,484378613,20054360,17348644,43.81,6.05,0,49.86,16.6619,0,100
686931553,632704017,27028124,16249668,52.29,8.06,0,60.35,22.5994,0,100
712650678,658139736,28349994,16402290,56.66,7.95,0,64.61,22.593,0,100
645285572,595523480,25355382,15823827,53.23,6.72,0,59.95,20.1051,0,100
605179597,554913035,25322991,16332750,47.44,7.38,0,54.82,20.0959,0,100
649711244,597469075,25815810,16322014,50.82,7.42,0,58.24,21.3508,0,100
678632137,624867408,28285090,15601421,52.84,8.21,0,61.05,22.6148,0,100
663075673,608734677,27358012,17741240,51.22,8.26,0,59.48,21.6787,0,100
858664426,794658102,35031080,17388660,67.42,10.42,0,77.84,27.6142,0,100
633675747,584009852,25427667,15725556,50.12,7.6,0,57.72,20.1068,0,100
845224723,781009291,34844115,17138743,66.72,9.92,0,76.64,27.9116,0,100
604436617,555823643,24215536,16274556,46.25,7.32,0,53.57,19.1578,0,100
623676749,575345961,25377220,14402039,48.68,7.6,0,56.28,20.0972,0,100
642046960,590578515,25163293,15613926,50.87,7.4,0,58.27,21.3595,0,100
670872022,618802422,27010556,16057213,53.54,7.28,0,60.82,21.3416,0,100
624225749,573947658,24580072,16413026,46.85,8.12,0,54.97,20.1013,0,100
477729064,435241710,18700221,16494278,37.09,5.69,0,42.78,15.446,0,100
810636625,751069820,31274944,15202725,64,9.6,0,73.6,26.4409,0,100
641907758,591168202,24561101,16384356,49.81,7.63,0,57.44,20.4335,0,100
745628986,689295059,30542822,15543105,57.24,9.23,0,66.47,24.1647,0,100
747496013,692898146,28967619,14464320,63.08,8.23,0,71.31,23.8605,0,100
581796223,535154464,22631366,14934020,45.62,6.96,0,52.58,18.8678,0,100
650828642,599548565,25523376,17346509,52.65,7.41,0,60.06,20.0982,0,100
871901487,808319357,35036265,16483359,69.2,9.82,0,79.02,27.9274,0,100
827524536,767984144,33511326,14999107,63.98,10.55,0,74.53,26.3827,0,100
656737285,605274696,25870588,16957146,52.22,7.58,0,59.8,20.4456,0,100
573382615,525995985,23871313,15279097,43.85,7.05,0,50.9,19.0191,0,100
598486311,551644899,24121108,14984589,45.33,7.72,0,53.05,18.8501,0,100
709398585,654736668,27423709,16388931,54.11,8.65,0,62.76,22.7699,0,100
