pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
661878792,612167818,28990921,11340815,53.72,8.03,0,61.75,22.636,0,100
679527129,624843130,30292234,14206839,51.87,8.87,0,60.74,23.8762,0,100
574274435,529373860,24542496,12830801,45.81,6.88,0,52.69,18.8818,0,100
547167682,503461060,22900559,13737871,45.82,6.05,0,51.87,17.6475,0,100
575240736,527256489,24584342,15855425,46.56,6.92,0,53.48,18.8904,0,100
639110786,590619934,26214628,14294801,53.61,6.9,0,60.51,20.1151,0,100
678757858,626235760,28969022,14130345,51.28,8.36,0,59.64,22.6131,0,100
732252723,675723413,30802682,15971325,56.69,8.51,0,65.2,23.869,0,100
612545896,565372278,24970899,15030156,50.88,6.37,0,57.25,18.884,0,100
708929068,655637577,29229614,14793720,57.39,7.16,0,64.55,22.6565,0,100
646915797,596518390,27349655,14098320,48.63,7.5,0,56.13,21.3699,0,100
707078084,651587787,30336520,14956041,53.07,8.57,0,61.64,23.8957,0,100
633569424,584577701,26245433,14742785,51.76,6.67,0,58.43,20.1149,0,100
785158511,727883659,32320057,14613221,62.59,8.42,0,71.01,25.1179,0,100
599535694,552846904,24539019,14622615,46.89,6.76,0,53.65,18.8618,0,100
658102282,605772883,27560288,15967360,49.48,7.54,0,57.02,21.3912,0,100
651127115,600819561,27591947,13955336,48.14,8.05,0,56.19,21.3651,0,100
579346890,531857109,24454717,15374562,43.76,6.7,0,50.46,18.8659,0,100
775651295,716006227,32090819,17004482,57.42,9.12,0,66.54,25.1068,0,100
583105466,535344723,24337475,15683771,45.48,6.68,0,52.16,18.8654,0,100
703829651,649975130,29476054,15363704,53.26,8.42,0,61.68,22.6162,0,100
623574269,572874912,25901881,16494888,47.89,7.09,0,54.98,20.1205,0,100
594168182,546818640,24516388,15278121,46.93,6.61,0,53.54,18.8636,0,100
703448584,649913459,29425851,15050469,53.7,8.27,0,61.97,22.612,0,100
767597465,709717737,31003250,17271113,61.67,7.8,0,69.47,23.8647,0,100
631093312,581888760,25928904,14995447,47.68,7.47,0,55.15,20.117,0,100
731710067,675486672,30792556,15687065,54.63,8.6,0,63.23,23.8606,0,100
620009307,570439304,26006862,15356140,46.49,7.71,0,54.2,20.1308,0,100
702025332,649411734,27851075,16245642,57.18,7.57,0,64.75,21.3805,0,100
686727630,634653211,27924336,15697130,52.35,7.93,0,60.28,21.3825,0,100
711398836,656747289,29404379,16120226,54.37,8.32,0,62.69,22.6466,0,100
611410503,563872410,24539995,15433061,48.11,6.82,0,54.93,18.8839,0,100
670660962,616762643,27799835,17482661,51.91,7.5,0,59.41,21.3942,0,100
678178846,625647659,27740238,16188790,50.79,8.21,0,59,21.379,0,100
612774707,562879818,25776587,15641803,45.8,7.2,0,53,20.1586,0,100
712565888,656105874,29115239,18051303,54.72,8.09,0,62.81,22.6101,0,100
602733253,553072055,25621525,15501991,46.08,6.56,0,52.64,20.1087,0,100
690799380,635696677,29031974,16689600,50.61,8.72,0,59.33,22.615,0,100
571871096,525962679,23255701,15856767,45.4,6.23,0,51.63,17.6414,0,100
695572874,640940359,29108468,16159998,52.9,8.09,0,60.99,22.643,0,100
583001705,536821106,23232643,16147005,47.62,5.58,0,53.2,17.6312,0,100
623042105,571605746,26139476,17105620,48.16,7.04,0,55.2,20.1853,0,100
689865836,637640503,27802824,15916486,55.19,7.57,0,62.76,21.3639,0,100
654918143,604951518,26203526,15729948,52.26,6.76,0,59.02,20.1341,0,100
555631371,508989856,22912820,16544176,45.13,5.97,0,51.1,17.6927,0,100
650950459,599095152,27536864,15551035,49.82,7.67,0,57.49,21.3635,0,100
705561685,648838273,30331213,16197147,52.02,8.53,0,60.55,23.864,0,100
632731345,583236433,25927745,15328385,49.08,6.9,0,55.98,20.1078,0,100
749379205,692848004,31150626,15908007,57.57,8.84,0,66.41,23.8644,0,100
682298786,628053499,28617418,15834075,50.02,8.02,0,58.04,22.6408,0,100
