pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
764273575,708438506,30766143,15187109,62.1,7.55,0,69.65,23.9153,0,100
559700315,514723856,22845415,15002889,44.33,6.05,0,50.38,17.6219,0,100
659146785,606404172,27415413,16434437,50.1,7.22,0,57.32,21.3702,0,100
705835453,651425100,29083763,15983098,54.88,8.12,0,63,22.6265,0,100
700594638,647736796,28062318,16477625,55.83,7.96,0,63.79,21.3796,0,100
667021885,614711335,27568950,15962907,51.32,8.06,0,59.38,21.4036,0,100
711872745,657592261,28208413,17891910,60.53,7.11,0,67.64,21.386,0,100
843820564,782402653,34020249,16499768,66.3,9.19,0,75.49,26.4474,0,100
663863183,612371253,26688110,17199133,53.84,7.24,0,61.08,20.1263,0,100
644217401,593041085,26358527,16927317,51.68,6.78,0,58.46,20.12,0,100
592943790,543655363,24526087,17114587,45,6.76,0,51.76,18.9167,0,100
670249700,619599021,26319426,16399057,54.69,6.94,0,61.63,20.1416,0,100
540883157,493397829,22621301,17446976,41.59,6.14,0,47.73,17.6876,0,100
710652989,656777423,29073515,15434647,55.85,7.7,0,63.55,22.6361,0,100
605173009,557073167,24586965,16012744,49.54,6.1,0,55.64,18.8719,0,100
760361950,702170634,30985560,17587398,58.46,8.52,0,66.98,23.8933,0,100
646541684,594386928,26062067,17914480,48.55,7.54,0,56.09,20.1503,0,100
595229704,546472221,24454229,16635676,45.03,7.19,0,52.22,18.8977,0,100
703133336,648778615,29226686,15845726,52.81,8.39,0,61.2,22.6584,0,100
634013504,583669472,25948119,16128888,48.68,7.1,0,55.78,20.1259,0,100
691179471,636930829,28951393,15831391,52.31,7.94,0,60.25,22.6212,0,100
615879973,566426663,25774635,15252379,47.68,6.92,0,54.6,20.1334,0,100
724654197,670790648,29596102,15397376,55.28,8.67,0,63.95,22.6112,0,100
684258411,631621572,28087633,16204223,55.33,7.31,0,62.64,21.3734,0,100
765564274,707844610,32152307,15051689,57.98,9.01,0,66.99,25.1251,0,100
722332598,667993554,29417372,15856584,56.1,8.14,0,64.24,22.6382,0,100
669614324,615643598,27792454,17545491,51.69,8.01,0,59.7,21.4325,0,100
725847662,670891786,29217780,16453103,57.08,7.69,0,64.77,22.6547,0,100
645423554,595933095,26437034,15191013,51.73,6.9,0,58.63,20.1436,0,100
667863990,615851669,27588043,15662665,50.4,7.57,0,57.97,21.3916,0,100
674827750,622566183,27849123,15859634,51.35,7.49,0,58.84,21.3949,0,100
685987334,633295168,27971001,16317988,56.08,7.39,0,63.47,21.3817,0,100
804751589,745321607,32612552,16674838,64.78,8.41,0,73.19,25.1542,0,100
581428271,533704982,24465575,15588855,46.76,6.19,0,52.95,18.8753,0,100
622557033,571979371,25856863,16363067,46.56,7.02,0,53.58,20.1296,0,100
688259950,636380792,27631841,15553292,53.64,7.21,0,60.85,21.3732,0,100
672617049,620465831,27705041,15792595,51.86,7.42,0,59.28,21.3907,0,100
677239812,622204880,27683447,18683751,51.07,7.89,0,58.96,21.3852,0,100
695047725,640532147,29373513,15959491,52.76,7.99,0,60.75,22.6545,0,100
625012771,574616645,25984414,16175736,47.8,7.3,0,55.1,20.1286,0,100
588372267,538032078,24490646,18222835,45.04,6.66,0,51.7,18.8801,0,100
695835723,643306427,27992961,16142491,55.16,7.68,0,62.84,21.3933,0,100
626261746,576347520,26068533,15569823,48.41,7.37,0,55.78,20.21,0,100
607152032,557223471,24814678,17773509,47.18,7.18,0,54.36,18.8868,0,100
675308247,622731554,27685399,16204284,53.55,7.49,0,61.04,21.3988,0,100
657990347,607840112,26520116,15855852,53.28,6.87,0,60.15,20.1391,0,100
733803770,677038695,29459218,18222286,56.41,7.87,0,64.28,22.6662,0,100
696326468,642031344,29095841,15810529,53.1,8.14,0,61.24,22.6617,0,100
609626253,559782360,25814102,15636984,44.66,7.47,0,52.13,20.1231,0,100
602092936,553837178,24425132,16182202,48.35,6.52,0,54.87,18.8719,0,100
