pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
417813400,378567464,4424940,39560696,19.53,104.92,28.0567,96.3933,63.4761,28566,100
406742632,369556117,3546967,36380888,8.02,96.15,23.0866,81.0834,49.7673,23525,100
523660844,473421793,4663572,49743670,29.57,107.22,30.9253,105.865,66.5844,31421,100
642876987,585725172,5291323,56399502,28.44,131.09,34.8346,124.695,74.9531,35457,100
573506933,516350055,5123695,55835130,25.77,128,34.6504,119.12,72.7466,35125,100
503090119,456720908,4292814,45631416,20.83,106.41,28.3545,98.8855,62.7265,28866,100
490869257,445214905,4287873,45717060,21.9,103.17,28.1972,96.8728,60.4054,28665,100
522813676,472826311,4485879,48824278,19.51,112.98,30.2229,102.267,64.4507,30660,100
496938147,447662652,4447144,49655281,22.08,111.75,30.1674,103.663,64.6544,30609,100
593893560,536817873,5197078,56422011,30.98,122.33,34.2345,119.076,73.9209,34803,100
648109140,585888225,5500553,60377190,29.24,135.98,37.2682,127.952,78.7934,37808,100
426811388,384134019,4829919,43806967,16.23,118.64,30.4311,104.439,68.4572,30970,100
495007558,445268036,4713409,50728637,29.47,108.57,31.686,106.354,66.2902,32183,100
481788980,430988851,4614955,51642295,27.5,111.28,31.6235,107.156,67.336,32067,100
516693241,466673180,4703100,50777986,28.34,109.98,31.38,106.94,67.493,31882,100
545355921,493123024,4974794,53157169,35.32,112.88,33.0873,115.113,70.7437,33612,100
506565838,455010651,4646248,52813312,25.64,113.48,31.2058,107.914,67.1652,31697,100
422851573,380389961,3953532,43169761,14.67,102.11,26.2442,90.5358,56.7654,26668,100
469811935,422160870,4652409,50169633,18.76,118.93,31.0333,106.657,67.7527,31509,100
485807782,437975059,4387303,48529953,22.99,108.99,29.689,102.291,63.8562,30126,100
523951021,472747194,4816438,52076188,31.62,110.26,32.0114,109.869,67.5221,32524,100
581042202,526135431,5068246,55717705,33.9,118.97,34.3658,118.504,72.1734,34903,100
483583417,437184987,4374493,46522504,26.35,101.87,29.0247,99.1953,61.8638,29482,100
403513414,363953877,3737043,40501011,22.62,86.06,24.7952,83.8848,52.8006,25186,100
526247488,473067566,4962838,54704983,32.52,116.13,33.6184,115.032,71.9128,34122,100
530748861,475976046,4944660,55703248,28.13,123.51,33.7728,117.867,71.0249,34270,100
402453234,361356497,3809755,42400917,12.93,98.55,25.0156,86.4644,53.827,25441,100
488681004,440398040,4496310,49005997,23.74,109.81,30.1222,103.428,63.4922,30605,100
454379911,411700041,4128114,43434440,21.49,98.62,27.2159,92.8941,58.5608,27666,100
568217135,514259768,5115704,55045485,28.52,123.07,34.4176,117.172,73.2896,34954,100
507664509,460505836,4641063,48059094,29.01,107,30.6855,105.324,65.2277,31175,100
557767347,503957234,4992972,54860533,22.96,126.81,33.7442,116.026,70.9407,34259,100
469862382,422563836,4414021,47751959,29.08,100.1,29.1923,99.9877,62.6078,29678,100
419377196,378513967,3970124,42615210,23.58,92.47,26.3287,89.7213,56.3663,26755,100
506881025,455467114,4717435,52512460,26.44,114.08,32.0982,108.422,67.3502,32554,100
449977236,407511781,4107374,43401378,25.9,95.85,26.7921,94.9579,59.143,27297,100
504483420,454969842,4769529,51532129,25.36,115.86,31.7427,109.477,67.5774,32252,100
416543746,376759180,3721549,40353452,18.06,92.23,24.9517,85.3383,52.3307,25343,100
428256966,387845442,3765835,40920508,16.76,95.46,24.7538,87.4662,54.3308,25192,100
393532411,354845967,3768458,39318282,23.61,87.05,24.6838,85.9762,55.4408,25093,100
562091393,507092573,5142605,56700171,31.6,121.09,34.5474,118.143,74.4252,35093,100
386101208,348592308,3652375,38420972,9.76,96.51,23.7376,82.5324,50.9474,24139,100
481588107,435654863,4409751,47630203,21.45,110.72,29.678,102.492,64.122,30168,100
422980832,382104610,3851723,41086245,24.22,86.5,25.256,85.464,53.7201,25650,100
496839144,445877304,4678517,52755484,31.1,109.24,31.9893,108.351,67.8319,32441,100
592438283,529834410,5731865,63811246,28.77,141.61,38.9908,131.389,83.6296,39519,100
400582669,361405053,3834155,40047232,17.31,94.65,25.053,86.907,54.1207,25438,100
439428750,396440220,4004345,44377866,19.55,98.38,26.6206,91.3094,57.3576,27076,100
477388745,431934412,4180818,45743351,21.94,101.59,27.6488,95.8812,58.8179,28097,100
482191824,434087102,4618798,49991391,28.91,106.82,30.8315,104.899,66.6383,31312,100
