pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
710041220,645471439,4761843,63493192,37.33,182.94,50.0517,170.218,114.962,50853,100
823488959,747687248,4843400,74898972,33.26,215.78,56.2813,192.759,123.009,57107,100
889822677,805815795,5011516,82025907,56.44,191.47,56.0251,191.885,120.302,56955,100
826743492,749454296,4489661,76336010,37.58,192.33,51.8439,178.066,111.588,52644,100
908601588,823008096,4950699,83670040,55.94,196.52,57.0444,195.416,120.89,57907,100
766553694,692511162,4225775,72305435,41.79,174.8,49.1751,167.415,108.875,49923,100
824576528,742976218,4750314,79519844,46.34,191.33,54.1072,183.563,113.843,54933,100
814044024,733842261,4594520,78993780,44.31,193.32,54.0733,183.557,118.601,54833,100
869636313,787145281,4703954,81033681,50.9,187.63,53.9901,184.54,115.848,54856,100
880947421,797744214,4844071,81565113,40.9,211.57,56.6277,195.842,121.279,57445,100
832140589,752134575,4651494,78805351,41.05,197.53,54.2166,184.363,117.245,55011,100
759602561,688910637,4087671,69099946,33.37,176.05,47.3409,162.079,101.157,48053,100
714005183,655169097,4675345,60705004,46.56,189.53,53.3179,182.772,123.955,54164,100
806761661,739817028,4463919,68735349,44.72,181.3,50.9192,175.101,111.166,51721,100
888272911,810260682,5031951,80244890,44.51,201.9,55.3827,191.027,117.62,56299,100
949952878,863581209,5303279,87948519,51.09,213.9,60.4056,204.584,130.583,61313,100
831482765,758738618,4571218,74409386,48.32,174.53,49.9453,172.905,107.946,50792,100
868468468,790621854,4781363,81652831,43.76,198.02,54.3301,187.45,116.001,55184,100
807176522,735532815,4547611,74122137,40.89,180.4,50.1426,171.147,108.388,50981,100
758050416,687717355,4334965,72810271,36.78,181.66,49.1789,169.261,107.767,49935,100
901714505,820425844,5014932,83087246,44.3,204.67,56.2899,192.68,120.19,57151,100
861883884,783156430,4759098,80908509,47.08,196.35,55.6069,187.823,122.281,56415,100
867899826,789077273,4862005,80980672,37.93,204.63,55.5132,187.047,118.53,56311,100
978192279,889756309,5405210,90714503,52.91,220.11,62.0534,210.967,137.045,62953,100
926598174,844722083,5000902,83775021,44.55,205.58,56.0732,194.057,123.001,56939,100
908184409,827157499,5111007,83598975,46.38,208.45,57.5317,197.298,123.032,58412,100
868256676,790167099,4785572,79609636,49.84,191.52,54.9316,186.428,116.565,55724,100
904283825,825352692,4829858,80177973,45.86,194.13,54.2593,185.731,115.034,55116,100
772852920,701528243,4377055,72563648,38.46,177.68,48.6589,167.481,103.749,49413,100
754690292,687046843,4145072,68553447,35.89,175.64,47.8598,163.67,103.44,48555,100
870406804,793592066,4768675,78802484,42.66,198.89,54.7171,186.833,117.956,55531,100
885738117,805790053,4795332,81624039,36,206.54,54.5352,188.005,115.643,55336,100
849818023,772666809,4805214,78539391,50.48,187.21,53.7491,183.941,117.917,54655,100
693128543,633657569,3740947,60504375,21.23,167.01,41.5112,146.729,90.3643,42187,100
825830200,750583162,4523638,77390334,44.49,183.18,51.5064,176.164,108.738,52276,100
825005846,750288044,4432565,75977757,35.31,188.15,50.2149,173.245,108.922,50989,100
783940341,713783143,4424574,72723712,37.46,179.71,49.2598,167.91,111.199,50036,100
905951382,824365895,4968694,83900132,42.64,207.86,56.5619,193.938,121.572,57386,100
835929116,761641120,4493443,75876009,40.45,186.38,51.0813,175.749,108.76,51852,100
833649058,758429043,4628436,76667545,42.19,194.38,53.0261,183.544,113.153,53827,100
754442449,684299586,4309589,72520643,37.79,182.24,49.7518,170.278,107.836,50508,100
813393703,738623319,4518270,76326250,42.31,186.92,52.1853,177.045,110.882,52954,100
674571916,613961157,3862764,62540128,31.01,162.29,43.3735,149.926,93.8157,44086,100
847531316,771542701,4726097,78538537,50.84,188.39,54.0343,185.196,117.521,54883,100
680260471,615219404,4000868,66518365,29.61,172.72,45.9621,156.368,99.9931,46619,100
901433173,819374021,4927519,84472922,53.34,200.94,57.5113,196.769,126.515,58364,100
837851043,762851482,4536326,76423728,37.58,188.52,50.8802,175.22,108.856,51687,100
926151410,845686066,4975770,82584301,50.49,203.22,56.5463,197.164,119.986,57419,100
890228754,809163292,4937889,83512599,48.1,197.78,56.3748,189.505,119.685,57228,100
879501599,798727656,4911842,83183565,50.36,199.04,56.4557,192.944,123.8,57321,100
