pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
574029642,513889803,6009049,59956229,23.61,146.42,38.6895,131.34,85.2585,39311,100
548350960,492224860,5254845,56066137,33.21,128.38,35.9418,125.648,77.7954,36458,100
453040961,403386656,4776117,48997762,20.81,111.64,29.6233,102.827,64.3951,30091,100
602776990,539827796,5975194,62875689,31.89,143.54,39.9741,135.456,85.4537,40585,100
593552082,529859847,5700450,62842017,34.17,137.81,38.457,133.523,81.1226,39034,100
512945340,459827211,4774043,52381371,26.17,118.42,32.2602,112.33,68.3887,32734,100
577391596,516560322,5444860,60201876,31.06,131.48,36.5292,126.011,79.4109,37112,100
537882872,480069207,5423876,56396818,29.8,123.05,34.4187,118.431,75.0945,34946,100
578298483,523813588,5734549,53820300,27.22,138.92,37.6271,128.513,83.1409,38209,100
630957282,570430947,5688799,60294962,30.44,134.7,37.9778,127.162,81.4606,38562,100
569251878,512508641,4984981,55454734,22.19,130.74,34.3586,118.571,73.4725,34835,100
702229438,632144342,6302337,68910785,43.97,143.95,43.1026,144.817,90.6305,43698,100
602497671,544587199,5391668,56817474,24.07,130.9,34.9893,119.981,73.8352,35506,100
652476679,590130470,5690263,63034167,23.05,149.74,38.3726,134.417,81.8605,38971,100
590108449,532540370,5076969,57474749,27.12,123.02,34.5008,115.639,73.3136,35001,100
518192865,467683218,4530348,50304565,21.45,116.29,30.9809,106.759,64.8353,31429,100
643826086,581813547,5675989,61187941,30.48,139.2,37.6591,132.021,81.3335,38210,100
753334262,679196814,6801134,72763423,46.89,151.29,45.1613,153.019,95.4496,45802,100
607308863,548048766,5291079,58336191,27.86,130.03,35.7335,122.157,77.4983,36262,100
621311962,561509026,5370013,58834134,22.85,134.88,35.5102,122.22,75.1035,36049,100
568148266,510974674,5190490,57765902,21.24,134.57,34.9908,120.819,76.6247,35512,100
794863306,720828216,6902394,74571768,45.84,157.78,45.7554,157.865,99.1255,46440,100
684582260,617431447,5941705,66299985,28.33,148.3,40.2364,136.394,84.9863,40807,100
627057369,567030990,5493538,59485736,27.94,134.94,36.4911,126.389,80.2989,37021,100
557544636,502198604,4931057,54484529,34.67,112.24,33.3289,113.581,72.0329,33832,100
694719606,628282737,6058825,65639111,37.3,142.53,40.361,139.469,85.2541,40969,100
629573863,570890826,5390204,58605140,22.9,139.82,35.7856,126.934,77.066,36335,100
643113179,582079751,5406247,59452613,33.82,127.09,36.2442,124.666,77.8379,36773,100
594914273,537835109,5157245,56547793,25.2,126.38,34.579,117.001,73.3073,35094,100
593256720,537055773,5054094,55643102,28.12,123.2,34.0885,117.232,71.9712,34596,100
686562137,619715226,5919928,65878780,29.78,148.49,40.0493,138.221,84.5898,40637,100
580428359,524525824,5021947,55639015,28.64,122.05,33.5861,117.104,70.8803,34083,100
668940335,603618668,5871128,64486577,27.14,146.17,39.4683,133.842,85.2892,40035,100
628825637,567204962,5573570,61546438,21.91,146.18,38.1745,129.915,83.4361,38717,100
561167243,507269107,4959117,53592038,18.27,128.4,33.5278,113.142,70.8167,34020,100
607466853,546788140,5429305,59122420,26.18,130.49,35.2199,121.45,74.4629,35738,100
754446292,680859979,6589525,73086052,38.29,157.4,45.171,150.519,97.8336,45807,100
684781059,617218618,5999167,66335853,37.84,139.64,40.8966,136.583,88.646,41471,100
626914385,567287068,5315052,58620024,30.61,128.06,35.719,122.951,74.9747,36242,100
486150907,440833092,4118293,45212956,21.35,101.58,26.8962,96.0338,57.4482,27349,100
720023809,649388005,6226880,69617226,32.77,153.47,41.9986,144.241,88.138,42597,100
693690048,624383678,6108052,68645313,29.27,153.33,41.9041,140.696,90.8156,42496,100
580048329,521987980,5243926,57975864,22.74,135.32,35.5698,122.49,77.8541,36120,100
612248887,553446717,5495551,60146427,23.93,137.26,36.8084,124.382,79.7669,37376,100
587407857,530399636,5145228,56610440,28.9,122.84,34.437,117.303,72.0842,34952,100
731911550,659181128,6435439,71470101,37.68,154.18,43.9697,147.89,92.5576,44580,100
629208168,568504567,5430281,61090463,33.42,128.4,37.059,124.761,79.5292,37590,100
631434485,571217969,5390875,59544235,22.83,134.34,35.6539,121.516,75.9631,36215,100
556455786,502706002,4813754,53167600,24.44,119.8,32.4335,111.807,69.2573,32904,100
638899177,577459367,5552708,60529934,33.23,129.96,37.613,125.577,80.8223,38154,100
