pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
484692397,444632721,3274114,40782465,25.73,130.86,35.3799,121.21,79.3829,35936,100
512961566,470773173,3042009,43404550,24.88,124.17,33.9574,115.093,72.8451,34467,100
460494612,420488982,2639409,40755381,23.9,101.87,28.5314,97.2386,63.1985,29039,100
400056361,367415139,2272006,33162284,18.7,91.05,24.4295,85.3205,54.535,24867,100
459724670,417920394,2732922,43031291,24.44,109.93,30.4239,103.946,65.1005,30895,100
394660301,358101720,2264381,37155954,20.2,89.09,24.9612,84.3288,53.8624,25353,100
488482815,445747069,2785931,43339219,28.78,107.91,30.9247,105.765,66.4164,31412,100
529781767,481205698,2963319,49913494,24.9,124.86,33.467,116.293,70.6722,33951,100
468744740,421916748,2869379,47714017,25.6,119.07,32.9166,111.753,70.7867,33384,100
404516803,366990213,2281278,38367719,16.83,93.6,24.8002,85.6298,54.9866,25224,100
452472685,411195876,2663199,42343333,27.2,102.2,29.1777,100.222,62.5372,29648,100
495811721,449387000,2823263,46963961,18.86,121.26,31.8046,108.315,67.7794,32271,100
438027214,398480426,2554863,41147611,29.22,96.72,28.2665,97.6735,63.4831,28712,100
480564100,438194232,2806488,44237810,23.36,112.96,30.5855,105.734,66.5385,31096,100
410100011,372046259,2309338,38584391,16.98,97.64,25.8734,88.7466,55.009,26266,100
403732343,367267519,2232295,36734810,23.05,86.14,24.8869,84.3031,53.4344,25271,100
462070852,422897201,2638921,39608215,24.69,98.28,26.6969,96.2731,59.8291,27230,100
515704614,467920874,3024563,49641251,27.81,117.41,33.63,111.59,71.6504,34130,100
439007240,398599681,2561268,40979312,22.67,100.47,27.9044,95.2356,60.2768,28352,100
550197918,497577183,3201646,53390128,23.43,138.37,36.8188,124.981,79.0628,37308,100
489256234,447351674,2611959,42169666,19.6,108.28,28.1328,99.7472,59.9573,28624,100
489120387,442887450,2875540,46764064,23.71,118.01,32.4141,109.306,67.3713,32907,100
463142561,420308483,2671007,43344648,28.48,100.3,29.3838,99.3962,62.4527,29831,100
485140076,439189386,2753235,47339660,25.65,113.11,31.6225,107.138,66.0913,32059,100
391057031,354396885,2282803,38562919,16,97.39,25.6233,87.7667,54.1783,25999,100
416921763,380519952,2466169,37644442,21.05,100.31,26.8851,94.4749,57.4408,27302,100
530103420,480634128,3022306,50739129,30.34,120.17,34.2767,116.233,73.7604,34777,100
465602813,423665740,2640324,43020250,22.13,109.12,29.347,101.903,62.4205,29824,100
418459634,378786698,2419382,40269699,23.8,93.34,26.7181,90.4219,56.1827,27142,100
490414624,444524873,2790567,46718558,26.05,113.52,31.6616,107.908,67.5221,32106,100
363502599,331886360,3071716,32595411,16.97,109.43,28.822,97.578,64.4908,29337,100
425018659,385974145,2758664,39851117,27.1,107.26,30.4895,103.87,66.5137,30968,100
510820039,465310074,3160227,46445400,32.26,118.9,34.7495,116.411,74.938,35279,100
396481517,357696985,2422554,39043660,18.55,101.84,27.151,93.239,57.7882,27543,100
386853521,350015560,2327150,37392512,21.28,89.67,25.3407,85.6093,54.8124,25736,100
404229920,365540365,2475746,39502929,19.4,100.37,27.3116,92.4584,60.1676,27759,100
415119640,376061096,2450126,40027163,23.2,98.1,27.2862,94.0138,58.4027,27707,100
697099399,632001541,4076081,66670377,44.62,160.77,46.4583,158.932,99.6231,47197,100
416123029,375388632,2473245,41576319,18.43,105.79,28.2016,96.0184,61.0892,28628,100
443983376,399679381,2841502,45761956,28.88,108.37,31.2088,106.041,68.6058,31678,100
485491497,441022253,2878041,45957827,28.59,112.89,32.1168,109.363,68.7208,32619,100
454305674,409207886,2917386,46570267,25.54,115.84,32.4665,108.913,71.0648,32957,100
494514861,444737275,3012424,50753037,24.33,128.82,34.8355,118.314,74.5451,35322,100
435673346,392863607,2594147,43775064,21.11,105.71,28.8393,97.9807,61.0028,29275,100
424564453,382414246,2581886,42816754,23.92,104.02,29.3304,98.6096,62.287,29762,100
496865252,450945489,3003579,47508508,33.92,114.28,33.3081,114.892,71.9641,33843,100
482311323,436386375,2917996,47465808,26.11,116.01,32.2099,109.91,68.94,32716,100
419381222,381222855,2496425,39587292,18.8,100.9,27.1201,92.5799,60.5723,27561,100
414142237,372759593,2567856,41437056,24.51,103.27,29.2153,98.5647,65.0705,29638,100
492669977,445693633,2867549,47290738,24.64,120.59,32.3671,112.863,69.9651,32851,100
