pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
358038158,329295263,4909280,27837838,22.85,110.56,30.8787,102.531,69.653,31390,100
318438910,293114699,3536536,24488206,18.81,86.56,23.6848,81.6852,52.2487,24124,100
322121968,298182396,4332891,24565493,17.33,99.61,26.6336,90.3064,61.9948,27085,100
331671030,305855098,3773094,26524569,25.28,87.56,25.4156,87.4244,54.2676,25822,100
361395476,333931141,4137081,27996560,25.47,95.72,27.2792,93.9108,60.1732,27719,100
334056923,308505121,3666527,26165889,17.56,94.48,24.6983,87.3417,53.5769,25119,100
334049725,308479928,3436191,25428155,18.54,82.88,22.3283,79.0917,49.0887,22724,100
431055219,398234474,4630998,33401038,26.72,112.94,31.732,107.928,69.0388,32231,100
378031945,347735807,4032039,30528548,21.58,99.18,27.3004,93.4596,58.6193,27751,100
426897154,391700886,4637952,35334677,33.72,101.55,30.9104,104.36,65.1088,31404,100
369931267,341616226,3763700,28964203,22.81,91.16,25.0484,88.9216,54.8277,25523,100
355145355,324664509,4023926,31202537,19.25,103.33,27.5377,95.0423,58.561,27927,100
458642103,421780169,4759830,37140826,30.58,109.48,31.4375,108.622,66.7406,31973,100
376882278,345777524,4008249,31334480,24.51,94.31,27.1525,91.6675,57.5318,27567,100
493163467,451259334,5381359,42338331,31.27,129.06,36.9645,123.365,77.4066,37479,100
420419869,385569105,4440678,34916766,31.08,102.45,30.1547,103.375,64.8863,30620,100
387643715,354727444,4207536,33734586,19.45,106.68,28.6906,97.4394,62.4541,29126,100
388815830,355791223,4152575,33417996,19.78,102.29,27.9208,94.1492,59.7637,28354,100
375240768,344504027,3870511,31021855,25.94,89.39,26.2743,89.0557,57.77,26679,100
345009839,317166633,3779011,28378237,22.25,91.58,25.4458,88.3842,55.4273,25860,100
453312899,414263932,4999377,40579030,22.72,131.61,34.7013,119.629,74.2125,35204,100
398574732,363147213,4569693,36021415,24.65,109.92,30.6527,103.917,65.5317,31147,100
459636220,422386021,4865970,37485903,17.7,126.5,31.9959,112.204,68.8033,32578,100
477102106,436037882,5271803,41692097,35.8,123.62,35.8808,123.539,77.2195,36412,100
373628599,339345562,4254262,34406135,18.06,114.83,29.9282,102.962,64.2932,30326,100
434175674,398850635,4551210,35980667,24.08,114.97,31.1,107.95,68.3011,31597,100
359133596,329434709,3831593,30620963,17.41,94.7,25.1855,86.9245,54.3657,25620,100
448463948,409533321,4887686,39397216,29.16,119.89,34.0834,114.967,72.9793,34569,100
452647145,411859800,5124610,41945491,30.18,125.26,34.9102,120.53,75.3552,35417,100
324049019,298970211,3315411,24871713,16.48,80.36,21.3528,75.4872,48.3755,21791,100
445109375,409231981,4691693,36109316,30.51,110.56,31.8127,109.257,68.6012,32295,100
429590365,394200605,4735674,36372531,31.66,109.24,31.6227,109.277,66.6492,32111,100
469899714,430116124,4992728,40310935,26.74,123.65,34.3845,116.006,73.9559,34907,100
466197319,427710955,4935205,39478163,33.19,116.7,33.761,116.129,74.1709,34296,100
434864669,397971137,4793746,37269414,21.54,119.3,32.3105,108.53,68.852,32814,100
410813162,375810691,4557737,35266967,25.86,110.01,30.5717,105.298,65.3457,31041,100
343592382,313869217,3747413,29829183,26.21,87.23,25.4043,88.0357,56.1384,25787,100
418689970,384473362,4487038,35261538,22.92,111.9,30.4584,104.362,66.5048,30969,100
490760006,449961803,5207631,41625119,35.28,121.16,35.7821,120.658,78.0949,36310,100
334812042,308467240,3536231,26589717,20.99,82.61,23.2563,80.3437,51.4401,23659,100
420698273,384474216,4481426,36981616,20.34,113.9,30.3704,103.87,65.2317,30833,100
448985620,412922908,4744153,37135092,29.78,113.21,32.1687,110.821,68.9989,32719,100
352670524,322261109,3953898,31395236,24.3,94.33,26.9682,91.6618,59.1323,27387,100
406161851,371114179,4425001,35734349,21.55,112.34,30.2327,103.657,65.2574,30691,100
381549571,348280903,4391695,34388201,21.02,111.6,30.0568,102.563,64.856,30510,100
380698438,348897125,4088525,32497567,22.2,100.15,27.8343,94.5157,59.4198,28273,100
426678347,393737493,4524370,33578792,29.73,104.81,28.9784,105.562,64.0922,29556,100
346090576,317612848,3735579,28791085,16.88,96.15,25.4513,87.5787,54.7981,25862,100
422879328,386040269,4601657,37236718,28.4,111.28,32.0196,107.66,69.1356,32485,100
420582739,386034840,4443423,35048831,28.96,104.55,29.8644,103.646,64.1711,30315,100
