pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
2591410357,2409164073,112341504,18040872,188.33,41.66,0,229.99,97.5301,0,100
2481097103,2306732507,108034477,16469207,177.43,38.9,0,216.33,93.7719,0,100
2278843307,2115701552,99321603,17906184,165.23,36.52,0,201.75,86.2685,0,100
2405701408,2235958843,105193768,16054956,174.14,39,0,213.14,91.2701,0,100
2002605844,1857185077,87980483,16971176,144.36,31.61,0,175.97,76.2683,0,100
2529431551,2351402868,110484725,15933627,182.95,40.77,0,223.72,96.2693,0,100
2228585041,2070810737,96361273,16730165,159.55,36.28,0,195.83,83.7681,0,100
2408768549,2241576638,103966814,15576045,169.76,38.6,0,208.36,90.0193,0,100
2330961707,2168046445,101128667,15499551,167.96,37.5,0,205.46,87.5152,0,100
2426316358,2254383344,105297346,18223506,175.95,37.72,0,213.67,91.2705,0,100
2477807678,2305697154,106688329,16315365,177.05,39.62,0,216.67,92.5157,0,100
2336761343,2170292282,101963757,17012778,172.08,37.69,0,209.77,88.77,0,100
2457860739,2281528832,107936389,18450548,179.27,38.71,0,217.98,93.7696,0,100
1889741021,1753305066,82348597,16393262,136.67,29.79,0,166.46,71.2694,0,100
2400855507,2230955989,105208408,16189034,174.02,38.26,0,212.28,91.2679,0,100
2393299254,2223373140,103881719,18305978,170.14,37.98,0,208.12,90.0197,0,100
2412788815,2242925226,105221218,16157436,175.25,37.89,0,213.14,91.2686,0,100
2500903559,2321815062,109445956,19053533,180.64,39.95,0,220.59,95.0186,0,100
2474382223,2299416228,108078641,17065482,179.8,39.63,0,219.43,93.7696,0,100
2384195126,2215432770,103857990,17170585,173.25,37.17,0,210.42,90.0195,0,100
2414736057,2243954784,105097083,17103485,174.43,38.08,0,212.51,91.2644,0,100
2452640847,2280307978,106724197,16518678,177.55,39.66,0,217.21,92.5234,0,100
2521862183,2342629604,109686723,19202495,181.25,40.6,0,221.85,95.0176,0,100
2426785692,2255969344,105215484,17103241,175.3,38.33,0,213.63,91.2699,0,100
2446113786,2271653176,106827226,18616651,176.5,39.46,0,215.96,92.5333,0,100
2302294635,2139187345,100697946,15756788,168.12,37.01,0,205.13,87.5243,0,100
2534287212,2352073258,111803850,18064418,187.98,41.56,0,229.54,97.5203,0,100
2052194818,1905740040,89128442,15910325,147.17,32.42,0,179.59,77.5155,0,100
1910293324,1771087298,83475694,17097751,140.76,30.54,0,171.3,72.5184,0,100
2470547458,2294800968,108231202,17784184,178.82,39.28,0,218.1,93.7711,0,100
2442093154,2270335759,106536317,15960955,176.85,38.72,0,215.57,92.5207,0,100
2046509679,1902051858,87809317,15998958,146.27,32.39,0,178.66,76.2641,0,100
2143421416,1991996358,92318010,16642081,153.4,33.82,0,187.22,80.0171,0,100
2063149076,1916117543,89285517,16462192,148.85,32.95,0,181.8,77.5303,0,100
2546763054,2368089906,109432353,18620250,179.03,39.83,0,218.86,95.0193,0,100
2553377345,2374319470,110678217,16943360,183.52,40.62,0,224.14,96.2694,0,100
2413711257,2243719995,105065546,16304934,173.22,38.71,0,211.93,91.2651,0,100
2578561805,2372995526,111219348,43343489,185.21,40.77,0,225.98,96.2664,0,100
2257115961,2096760259,98164006,17115014,162.31,36.22,0,198.53,85.0319,0,100
2413004206,2243801003,104054593,17570928,170.06,38.71,0,208.77,90.0192,0,100
2460989246,2289395026,106778670,15778016,176.2,38.41,0,214.61,92.5148,0,100
2501457439,2324223891,108300437,19274658,178.13,39.92,0,218.05,93.7796,0,100
2546918909,2369022047,110962355,15785275,183.59,40.24,0,223.83,96.2737,0,100
2333646073,2163149853,103034551,18987104,175.45,37.92,0,213.37,90.0193,0,100
2448853967,2274422698,107658778,16581020,182.2,40.5,0,222.7,93.7678,0,100
2432235188,2257286517,106459152,19173276,176.05,38.63,0,214.68,92.5187,0,100
2425453757,2260456504,102879367,15392008,166.48,36.7,0,203.18,88.7692,0,100
2567424059,2384888208,112088842,18338064,185.83,41.74,0,227.57,97.5208,0,100
2375459194,2207004583,103953455,16838501,169.77,37.1,0,206.87,90.0182,0,100
2461379097,2288777767,106933976,16744378,178.33,38.94,0,217.27,92.5307,0,100
