pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
2663471304,2513927547,98273501,13325816,141.89,35.05,0,176.94,81.2664,0,100
1647863089,1522663212,73497619,14388253,115.38,26.88,0,142.26,66.2674,0,100
1839631656,1701700469,81614279,14588089,129.44,30.52,0,159.96,73.7683,0,100
1818093410,1683573648,79265169,15315819,124.41,29.55,0,153.96,71.2802,0,100
1822635165,1686026885,80432831,15314660,126.02,29.89,0,155.91,72.5214,0,100
1833655852,1697327867,80394462,15047297,127.7,30,0,157.7,72.5172,0,100
1592112322,1468944416,70526980,16547348,112.3,26.22,0,138.52,63.7672,0,100
1818148432,1680052850,80328704,16828924,127.58,30.66,0,158.24,72.5175,0,100
1873233872,1734253241,81829243,15598615,129.92,30.65,0,160.57,73.767,0,100
1840458816,1700956696,81521132,16142430,128.82,31.21,0,160.03,73.7693,0,100
1956910561,1812779883,84547281,16574310,133.89,31.45,0,165.34,76.2674,0,100
1946061955,1800300442,85745504,16135598,135.45,32.15,0,167.6,77.5182,0,100
1813147835,1677645668,79003967,16313169,124.24,30.24,0,154.48,71.2645,0,100
1846498365,1702806399,81727251,20301715,127.95,31.08,0,159.03,73.7677,0,100
1882228932,1743139416,81832537,15680782,129.56,31.12,0,160.68,73.7838,0,100
1723678281,1592403658,76192843,16236492,120.3,28.16,0,148.46,68.7729,0,100
1754922786,1599727684,75139068,42180097,118.48,27.34,0,145.82,67.5143,0,100
1838709824,1700578557,80601435,16802694,127.64,30.1,0,157.74,72.5172,0,100
1828630489,1690657212,80420387,16656660,126.95,31.01,0,157.96,72.5181,0,100
1807850900,1671403965,78975846,17221032,122.76,29.47,0,152.23,71.2682,0,100
1587898076,1466644777,69369383,16668982,109.4,26.54,0,135.94,62.5163,0,100
1486934048,1373430860,65092612,15200529,103.4,24.36,0,127.76,58.7636,0,100
1859858341,1718182425,82960061,16190620,131.32,31.14,0,162.46,75.0179,0,100
1838191995,1699028669,81780687,15784360,129.64,30.65,0,160.29,73.7681,0,100
1854498942,1715176284,81770927,15928320,127.63,30.44,0,158.07,73.7665,0,100
1835877045,1696154166,81592197,16336532,130.72,30.39,0,161.11,73.7681,0,100
1852778498,1715433704,80573863,16029275,128.05,30.37,0,158.42,72.5188,0,100
1895871399,1754481512,83220836,15898613,131.8,31.26,0,163.06,75.0198,0,100
1683722244,1557844230,73468888,15022775,114.44,27.49,0,141.93,66.2634,0,100
1897178019,1754404225,83238465,17289169,130.88,31.2,0,162.08,75.0173,0,100
1861747999,1722253077,82003520,16095643,128.28,30.66,0,158.94,73.7682,0,100
1808301324,1672202455,79060697,16874003,123.57,29.44,0,153.01,71.2665,0,100
1779825304,1646942294,77963673,15737268,121.4,28.56,0,149.96,70.0168,0,100
1854984258,1718176813,80489012,15518156,127.92,30.28,0,158.2,72.5168,0,100
1803413394,1667382418,79230948,16807330,123.28,29.44,0,152.72,71.265,0,100
1779160221,1645693075,77828558,16328053,123.13,28.39,0,151.52,70.0281,0,100
1902166782,1760638242,83445011,16034704,130.48,31.26,0,161.74,75.0213,0,100
1801816658,1666566177,79135849,16011280,125.18,29.5,0,154.68,71.2672,0,100
1848846316,1709361215,81623612,16105891,128.6,30.43,0,159.03,73.7672,0,100
1834419694,1696724943,80594542,16363372,126.89,30.2,0,157.09,72.531,0,100
1850952646,1711422283,81621538,16141393,130.79,30.54,0,161.33,73.7714,0,100
1868402977,1727987321,81843090,17012961,129.25,30.71,0,159.96,73.7691,0,100
1904331184,1762843636,83171304,15999934,130.49,31.04,0,161.53,75.0179,0,100
1841202406,1703993764,80387996,15913680,124.92,30.41,0,155.33,72.5177,0,100
1891979538,1750117999,83113476,16377524,131.12,29.95,0,161.07,75.0191,0,100
1818532366,1680327655,80366829,16909749,126.04,29.82,0,155.86,72.5184,0,100
1882366548,1741556710,83133423,15338694,132.35,31.62,0,163.97,75.0283,0,100
1815305344,1680771552,79316653,15293066,123.73,28.97,0,152.7,71.2702,0,100
1851782429,1713573204,80424779,16917130,125.9,29.82,0,155.72,72.5176,0,100
1867569412,1726006224,83033993,16079112,131.1,30.78,0,161.88,75.0168,0,100
