pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
1315272362,1307034922,20272679,10686285,47.71,574,145.285,476.425,295.74,146745,100
1321298857,1313069774,18565167,10132710,27.56,544.6,132.313,439.847,269.696,133664,100
1294939720,1287763192,20301715,9630680,53.23,557.5,144.264,466.466,294.451,145734,100
1273304423,1266399467,19489866,9345139,48.57,542.87,138.878,452.562,283.162,140262,100
1140915391,1132729740,17752220,10004732,25.29,519.92,126.418,418.792,256.958,127705,100
1286849168,1278491253,18762685,10686102,51.86,512.48,133.415,430.925,270.835,134753,100
1355424209,1347922978,20529306,10169432,54.17,558.77,145.283,467.657,297.12,146771,100
1305178204,1297626404,18522650,9521368,39.55,522.21,131.791,429.969,269.703,133151,100
1290003051,1280761795,19715078,11497219,51.97,546.89,141.629,457.231,288.319,143069,100
1371339536,1362389982,19946085,11058385,40.99,560.8,141.898,459.892,289.439,143357,100
1126088121,1118845957,17588618,9347701,37.8,495.26,125.91,407.15,256.965,127199,100
1286360375,1279081062,20005194,9822891,38.96,573.53,143.275,469.215,292.138,144740,100
1316672617,1308520028,20523328,10793462,42.42,582.32,145.865,478.875,297.369,147355,100
1406442047,1398789231,21633223,10374270,81.34,567.68,155.413,493.607,315.841,156980,100
1292862548,1284872158,20324285,10386531,42.26,577.3,145.093,474.467,297.01,146572,100
1290768479,1282309487,19220856,10750335,41.64,548.1,138.317,451.423,282.264,139718,100
1306172016,1298423613,21740034,10463696,60.1,591.64,154.058,497.682,313.378,155628,100
1328280246,1320278205,19234276,10458206,45.78,533.89,137.214,442.456,279.528,138603,100
1315290845,1307201086,20680037,10537933,63.28,554.59,147.577,470.293,302.408,149086,100
1384155209,1376207031,21048477,10244828,63.91,570.24,150.833,483.317,308.274,152362,100
1340875892,1333647514,20364057,9591945,68.6,541.34,144.877,465.063,294.456,146337,100
1363752234,1354772119,19021630,11057653,27.78,559.93,135.692,452.018,276.92,137082,100
1298621985,1290844119,20316416,10260444,57.16,558.41,145.506,470.064,297.234,146995,100
1322659950,1315200260,20738902,10081592,58.73,564.77,147.6,475.9,303.14,149103,100
1311730519,1303390599,19381103,10844702,40.59,545.87,137.718,448.742,281.12,139119,100
1299235279,1291300460,19408492,9977343,24.26,570.9,138.241,456.919,281.91,139665,100
1369483733,1361918330,21295893,10072930,63.86,581.06,153.079,491.841,311.942,154628,100
1280204499,1271438738,19961579,10897833,49.64,561.43,143.905,467.165,293.214,145355,100
1237111476,1229657825,18125662,9845461,55.62,487.79,129.356,414.054,263.25,130654,100
1384397318,1377144357,21545993,9977587,61.7,585.75,153.928,493.522,313.483,155486,100
1300606498,1293519091,18577062,9749386,41.31,516.43,131.112,426.628,266.88,132432,100
1392621338,1385239484,19546840,9667707,43.04,548.24,138.982,452.298,283.278,140409,100
1373488627,1366437210,20590733,9510388,55.13,573.58,147.434,481.276,299.466,148926,100
1265772631,1257406847,19284723,10560747,45.79,543.44,138.458,450.772,283.161,139872,100
1193028301,1184608776,16992648,10085008,12.34,516.12,121.229,407.231,245.565,122446,100
1340648240,1333014456,18875047,9688142,43.74,526.37,134.514,435.596,276.451,135903,100
1338320175,1329980133,19109104,10443200,45.76,534.27,136.177,443.853,278.498,137558,100
1414715477,1406318522,21794507,10894783,71.72,583.92,155.731,499.909,318.298,157335,100
1353966614,1345225131,20897197,11259563,51.73,578.01,149.434,480.306,304.501,150959,100
1330616790,1322106192,20691322,11148055,54.76,571.1,148.043,477.817,301.884,149535,100
1312500217,1305433367,20009647,9912744,52.29,557.34,144.075,465.555,294.388,145554,100
1332669806,1324347027,19853426,11136892,52.74,551.05,142.969,460.821,293.203,144440,100
1398442324,1390619135,19621687,10075675,42.96,552.87,139.538,456.292,284.426,140935,100
1383039885,1373948994,21170599,11520216,69.06,568.56,152.134,485.486,310.667,153675,100
1297365995,1290071310,18994668,9485561,47.42,525.66,135.193,437.887,274.386,136551,100
1338620295,1329847153,20449701,11022029,58.32,566.37,146.961,477.729,298.356,148424,100
1322854479,1313355315,18405164,11714257,26.59,542.67,131.65,437.61,266.93,132982,100
1372294857,1362869015,19027852,11315683,29.14,556.29,136.257,449.173,277.011,137639,100
1307340532,1298721476,21432228,11495206,59.05,586.87,152.569,493.351,310.824,154115,100
1361535372,1354250325,19659568,9570168,47.75,547,140.34,454.41,285.828,141767,100
