pkg,core,dram,gpu,user,system,looped,exec,wall,loops,rate
1074186149,1066468307,17874952,10657249,41.23,487.75,127.735,401.245,260.539,129000,100
966078838,959146493,17014181,9821244,35.47,468.96,120.739,383.691,245.529,121944,100
995424657,989712678,17370360,8729405,47.99,463.81,123.74,388.06,251.883,124954,100
1009471676,1002333883,17152895,9963191,37.64,461.14,121.775,377.005,248.196,123004,100
1036440630,1029921682,16935003,10109530,25.76,477.67,121.071,382.359,248.008,122327,100
717680860,710076600,12570270,10006562,29.88,344.08,89.7717,284.188,183.053,90666,100
1017983128,1011131974,17890568,9972768,45.95,482.96,128.276,400.634,262.048,129536,100
1055143108,1047639864,18522345,10639620,52.02,489.78,132.354,409.446,269.39,133662,100
1019310122,1012720780,17953642,9818377,44.96,483.63,128.225,400.365,260.612,129491,100
996727922,990407834,16990879,9708760,20.09,487.06,120.553,386.597,245.585,121784,100
989975161,983207150,16495254,9751338,20.82,474.16,117.773,377.207,239.287,118958,100
996230040,990022680,17606918,9394488,41.49,475.34,125.647,391.183,255.585,126904,100
1052258967,1045066457,17401775,10421057,40.87,470.28,125.226,385.924,254.341,126469,100
1076170967,1070983100,18150062,9326595,49.3,472.48,129.162,392.618,265.622,130530,100
918008398,910820036,16211055,10188037,39.88,439.4,115.582,363.698,236.796,116737,100
1057847787,1051420034,17519749,9515939,36.02,478.82,125.182,389.658,255.656,126429,100
961737468,955170452,16919387,9397111,47.12,446.15,121.029,372.241,246.817,122216,100
996003486,989281225,17329551,9753229,42.23,472.7,123.842,391.088,251.779,125060,100
1030205210,1023647344,17965903,9856807,39.23,494.19,128.884,404.536,261.768,130161,100
961539523,954208848,16717660,10367438,42.19,457.54,119.512,380.218,243.37,120687,100
1059191373,1053000239,17496935,9373748,32.68,481,124.624,389.056,254.393,125885,100
1010059899,1001286879,17964561,11761959,40.52,488.3,128.052,400.768,261.932,129338,100
1003993937,997141624,18515879,10080982,45.86,504.78,132.126,418.514,269.48,133428,100
956680080,949765791,16952205,10143385,50.04,442.92,120.7,372.26,246.829,121902,100
1062512945,1056527076,17654864,9378811,24.18,497.04,125.303,395.917,256.881,126642,100
934668047,928566949,16228501,8830116,28.27,466.18,115.768,378.682,235.74,116919,100
1082407119,1075735000,17526764,9719740,30.76,485.26,124.843,391.177,254.278,126086,100
994268585,988502194,17561107,9199898,30.85,493.22,124.757,399.313,254.411,126015,100
1002572088,996323736,17766372,9410104,56.18,463.26,127.225,392.215,260.556,128487,100
1026671785,1018653701,17890690,11525767,48.08,479.59,128.079,399.591,261.756,129359,100
1129280495,1122824743,19260079,9805262,65.97,490.44,137.484,418.926,283.182,138860,100
1017642443,1012348558,18089245,9084547,33.24,500.93,128.377,405.793,264.44,129690,100
889690612,883344843,15284160,9025438,29.83,421.58,108.947,342.463,221.871,110018,100
1064553334,1057629407,18953127,10577156,57.51,491.64,135.322,413.828,276.936,136663,100
1100169221,1092153638,18698879,11055762,47.92,491.56,132.933,406.547,270.672,134261,100
919335758,913635430,16227403,8348399,24.98,453.79,114.887,363.883,234.699,116050,100
1050123479,1043354126,18243514,10213718,39.02,493.99,129.342,403.668,264.669,130658,100
884740035,877568082,15941191,9983321,35.89,431.48,113.397,353.973,231.785,114549,100
1011157106,1004174314,16959220,10009002,33.32,468.62,120.895,381.045,246.775,122104,100
1077882627,1071401682,17771008,9203192,27.04,492.73,125.134,394.636,255.678,126421,100
984199742,977281549,17581481,9909206,34.3,485.75,124.939,395.111,254.269,126187,100
997308581,990091366,17653339,10320468,44,477.47,125.756,395.714,256.792,127005,100
1028357032,1021265599,17681277,10250135,31.81,492.61,126.253,398.167,258.134,127527,100
1072041206,1065164371,17733859,10280025,31.72,484.56,125.84,390.44,256.96,127112,100
1046957701,1040133326,18338491,10204751,36.24,501.46,129.821,407.879,264.4,131122,100
1002483821,995219819,17272699,10325348,30.49,479.64,122.691,387.439,249.457,123921,100
1120359001,1113286600,18975941,10310586,61.71,503.07,136.928,427.852,278.087,138253,100
884509394,878250550,15466428,8808217,25.03,432.46,109.806,347.684,224.478,110932,100
1034237371,1026291206,18179220,10983599,64.83,462.1,130.068,396.862,265.546,131335,100
974848137,967758595,17017231,10225674,33.5,466.12,120.533,379.087,245.645,121750,100
